Area,SPS
NL,14
NL,12
NL,4
NL,2
NL,4
NL,4
NL,20
NL,24
NL,4
NL,10
NL,4
NL,4
NL,4
NL,18
NL,6
NL,8
NL,0
NL,12
NL,10
NL,6
NL,8
NL,8
NL,4
NL,8
NL,2
NL,8
NL,6
NL,6
NL,4
NL,2
NL,14
NL,2
NL,4
NL,8
NL,2
NL,8
NL,6
NL,4
NL,6
NL,2
NL,10
NL,4
NL,12
NL,6
NL,4
NL,12
NL,12
NL,4
NL,14
NL,2
NL,8
NL,0
NL,10
NL,2
NL,2
NL,8
NL,2
NL,4
NL,2
NL,4
NL,2
NL,0
NL,14
NL,0
NL,4
NL,10
NL,2
NL,0
NL,14
NL,14
NL,0
NL,4
NL,14
NL,6
NL,4
NL,4
NL,20
NL,6
NL,8
NL,8
NL,4
NL,6
NL,8
LLDa,4
LLDa,4
LLDa,2
LLDa,10
LLDa,10
LLDa,2
LLDa,4
LLDa,18
LLDa,14
LLDa,6
LLDa,16
LLDa,12
LLDa,8
LLDa,0
LLDa,6
LLDa,16
LLDa,14
LLDa,4
LLDa,6
LLDa,4
LLDa,2
LLDa,0
LLDa,4
ICcc,10
ICcc,16
ICcc,8
ICcc,12
ICcc,4
ICcc,10
ICcc,2
ICcc,4
ICcc,6
ICcc,16
ICcc,10
ICcc,6
ICcc,4
ICcc,10
ICcc,4
ICcc,0
ICcc,18
ICcc,4
ICcc,6
ICcc,10
ICcc,6
ICcc,2
ICcc,14
ICcc,4
ICcc,20
ICcc,2
ICcc,8
ICcc,0
ICx,28.50935256
ICx,33.42114595
ICx,35.05141692
ICx,26.96034396
ICx,31.88809432
ICx,35.83183121
ICx,40.37823941
ICx,33.12416891
ICx,50.27318933
ICx,53.7769274
ICx,57.6144322
ICx,65.99479921
ICx,59.06237995
ICx,82.09745575
ICx,60.14479478
ICx,76.31201797
ICx,59.19269525
ICx,39.28326586
ICx,41.37894861
ICx,41.01799592
ICx,45.66561272
ICx,46.24848556
ICx,49.9700068
ICx,51.130138
ICx,47.27578972
ICx,46.09615555
ICx,52.62078544
ICx,55.93909754
ICx,61.18731716
ICx,64.02027127
ICx,66.92517952
ICx,65.65320174
ICx,66.47483821
ICx,67.76484146
ICx,66.72217133
ICx,81.14048048
ICx,87.4811619
ICx,100
ICx,66
ICx,100
ICx,32
ICx,54
ICx,34
ICx,58
ICx,100
ICx,30
ICx,16
ICx,46
ICx,52
ICx,100
