Drinks,After
2.5,1.86
9,7.75
1,0
3.5,1.77
2.5,1.22
3,1.67
1,0.08
3,2.07
3,1.69
3,2.82
3,1.9
2.5,1.74
2.5,1.41
5,3.74
3.5,1.74
5,4.98
1,0.19
2,1.46
1,0.68
7,6.12
3,2.66
7,5.65
4,2.92
4,3.93
6.5,5.53
4,2.65
3,2.38
6,5.22
5,3.68
3,2.2
8,6.6
6,5.04
6,4.99
3,1.42
6,4.97
8,6.39
3,2.01
4,3.15
7,6.57
4,2.96
5,4.77
3.5,3.18
4,2.68
2,0.86
1,0
5,3.28
5,4.1
3,2.55
3,1.88
6,5.18
4,3.08
2,0.46
7,6.83
7,6.86
7,6.76
5.5,5.34
3,1.52
2.5,1.48
10,9.57
5,5.11
4,2.27
9,7.76
8,7.11
1,0.27
6,5.38
2,1.74
5,3.48
2.5,2.03
3,2.57
4.5,4.39
9,7.29
5,3.9
4,3.51
4,3.12
3,2.34
4,3.49
6,5.5
7,6.46
4,3.5
5,4.68
1,0.51
5,3.95
3,2.97
4,3.82
10,8.87
7,5.9
3,2.05
4,2.86
4,2.35
4,3.3
4,3.16
2,1.53
1,0
2.5,1.71
2.5,2.35
7,5.74
7.5,6.22
8,6.75
15,14.92
3,3.49
4,3.52
1,0.04
5,3.82
11,10
4.5,3.99
6,5.24
4,4.2
10,8.94
16,15.05
4,3.88
8,6.95
5,4.51
9,8.11
7,6.52
7,5.55
3,2.79
5,4.82
6.5,6.2
1,0.49
12,11.01
4,2.03
6,4.31
8,7.32
8,8.05
4.5,3.55
10.5,9.84
8,6.57
6,5.88
10,9.33
1,0.37
9,7.85
8,7.77
7,6.32
8,6.97
15,13.41
3,2.47
10,9.02
7,5.84
4,3.17
6,6.82
5,4.6
2,1.05
10,9.94
7,6.8
9,9
5,4.15
8,7.71
7,6.1
3,2.82
7,6.44
6,5.38
4,2.39
5,4
2,1.31
5,5.01
5.5,4.26
9,8.9
10,9.21
10,9.02
4,2.72
8,7.21
4,3.4
2,0.65
4,3.89
12.5,12.23
3,1.9
15,14.87
2,0.93
6,5.41
3,1.94
4,2.64
3,2.93
10,8.35
6,4.61
4.5,3.89
5,3.97
